bus_id,voltage,dc,symbol,under_construction,tags,x,y,country,geometry
virtual_relation/20009833:a:1-220,220,f,Substation,f,relation/20009833;way/226112273,26.9480225,42.6614165,BG,POINT (26.9480225 42.6614165)
virtual_relation/2170424:1-400,400,f,Substation,f,relation/2170424;relation/2170427,-4.5707774,55.8344676,GB,POINT (-4.5707774 55.8344676)
virtual_relation/2247305:c:1-220,220,f,Substation,f,relation/2247305;way/37106128,12.56535948,51.07854346,DE,POINT (12.56535948 51.07854346)
virtual_relation/2674033:a:1-400,400,f,Substation,f,relation/2674033;way/170823667,21.91898511,49.75148926,PL,POINT (21.91898511 49.75148926)
virtual_relation/2674035:b:1-400,400,f,Substation,f,relation/2674035;way/199050901,21.0305329,49.9418201,PL,POINT (21.0305329 49.9418201)
virtual_relation/2927600:a:1-380,380,f,Substation,f,relation/2927600;way/178148988,14.57554127,51.41848163,DE,POINT (14.57554127 51.41848163)
virtual_relation/3028644:1-220,220,f,Substation,f,relation/3028644,7.4758498,51.6138251,DE,POINT (7.4758498 51.6138251)
virtual_relation/3697399:a:1-380,380,f,Substation,f,relation/3697399;way/43688806,9.0757491,48.9457539,DE,POINT (9.0757491 48.9457539)
virtual_relation/3697399:b:1-380,380,f,Substation,f,relation/3697399;way/43688806,9.0844334,48.953202,DE,POINT (9.0844334 48.953202)
virtual_relation/3717716:a:1-400,400,f,Substation,f,relation/3717716;way/60279702,7.51704516,47.65446141,FR,POINT (7.51704516 47.65446141)
virtual_relation/3717716:b:1-400,400,f,Substation,f,relation/3717716,7.75268007,47.53921172,CH,POINT (7.75268007 47.53921172)
virtual_relation/3717718:1-400,400,f,Substation,f,relation/3717718,7.75175762,48.09641695,DE,POINT (7.75175762 48.09641695)
virtual_relation/3717719:0-220,220,f,Substation,f,relation/3717719,7.57275816,48.01880403,FR,POINT (7.57275816 48.01880403)
virtual_relation/3730417:1-380,380,f,Substation,f,relation/3730417;relation/3730418,15.11358148,51.09171228,PL,POINT (15.11358148 51.09171228)
virtual_relation/3732382:a:0-400,400,f,Substation,f,relation/12842815;relation/3732382,9.19758039,54.85084914,DE,POINT (9.19758039 54.85084914)
virtual_relation/3732388:b:1-380,380,f,Substation,f,relation/3732388;way/1241945684,11.6734418,50.1960303,DE,POINT (11.6734418 50.1960303)
virtual_relation/3756990:0-380,380,f,Substation,f,relation/3756990,6.27678892,49.19714637,FR,POINT (6.27678892 49.19714637)
virtual_relation/3756991:0-220,220,f,Substation,f,relation/3756991;way/1414701225,6.70344493,49.13848661,FR,POINT (6.70344493 49.13848661)
virtual_relation/3866868:1-220,220,f,Substation,f,relation/3866868,10.1967491,50.0280152,DE,POINT (10.1967491 50.0280152)
virtual_relation/3883857:0-380,380,f,Substation,f,relation/3883857,10.9761229,52.1697448,DE,POINT (10.9761229 52.1697448)
virtual_relation/3888202:b:1-220,220,f,Substation,f,relation/14514411;relation/3888202,8.6290784,51.9945209,DE,POINT (8.6290784 51.9945209)
virtual_relation/3916522:a:1-380,380,f,Substation,f,relation/3916522;way/202837133,7.87368242,47.60099226,DE,POINT (7.87368242 47.60099226)
virtual_relation/3937928:0-220,220,f,Substation,f,relation/3937928,8.70215899,51.73634908,DE,POINT (8.70215899 51.73634908)
virtual_relation/3937928:1-220,220,f,Substation,f,relation/3937928,8.7391058,51.7005574,DE,POINT (8.7391058 51.7005574)
virtual_relation/3945260:a:0-220,220,f,Substation,f,relation/3945260,10.11694164,48.8971347,DE,POINT (10.11694164 48.8971347)
virtual_relation/395087:1-380,380,f,Substation,f,relation/395087,13.32566436,50.3469963,CZ,POINT (13.32566436 50.3469963)
virtual_relation/3952094:0-380,380,f,Substation,f,relation/3952094,15.69560433,46.52186265,SI,POINT (15.69560433 46.52186265)
virtual_relation/3952097:a:1-220,220,f,Substation,f,relation/10671384;relation/3952097;way/119019121,16.8535236,47.9764518,AT,POINT (16.8535236 47.9764518)
virtual_relation/3989161:1-380,380,f,Substation,f,relation/3989161,7.47181271,47.64682167,FR,POINT (7.47181271 47.64682167)
virtual_relation/445559:a:1-380,380,f,Substation,f,relation/445559;way/42557078,8.5985415,53.0859141,DE,POINT (8.5985415 53.0859141)
virtual_relation/4742468:a:0-220,220,f,Substation,f,relation/4742468,-5.98931385,39.8357358,ES,POINT (-5.98931385 39.8357358)
virtual_relation/4742468:a:1-220,220,f,Substation,f,relation/4742468;way/91679026,-5.7014739,39.8334429,ES,POINT (-5.7014739 39.8334429)
virtual_relation/4742657:b:1-220,220,f,Substation,f,relation/4742657;way/170389304,-5.66910652,39.80296357,ES,POINT (-5.66910652 39.80296357)
virtual_relation/4743310:a:1-220,220,f,Substation,f,relation/4743310;way/492198771,17.3377846,43.4507208,BA,POINT (17.3377846 43.4507208)
virtual_relation/4791312:b:1-400,400,f,Substation,f,relation/4791312;relation/4791313;way/1116095410,18.6847939,47.3794673,HU,POINT (18.6847939 47.3794673)
virtual_relation/4798436:1-220,220,f,Substation,f,relation/4798436;relation/4798437;relation/6662139;relation/6662140,14.64237411,37.07892339,IT,POINT (14.64237411 37.07892339)
virtual_relation/4851851:a:1-220,220,f,Substation,f,relation/4851851;way/144827706,-6.9086136,37.2746757,ES,POINT (-6.9086136 37.2746757)
virtual_relation/4851851:b:1-220,220,f,Substation,f,relation/4851851;way/144827707,-6.9081652,37.2955197,ES,POINT (-6.9081652 37.2955197)
virtual_relation/4872296:a:1-220,220,f,Substation,f,relation/4872296;way/1046980253;way/713396116,-6.3888795,53.423618,IE,POINT (-6.3888795 53.423618)
virtual_relation/5123156:1-400,400,f,Substation,f,relation/5123156,15.45344035,50.02902715,CZ,POINT (15.45344035 50.02902715)
virtual_relation/5129388:1-400,400,f,Substation,f,relation/5129388,14.37665491,49.1792973,CZ,POINT (14.37665491 49.1792973)
virtual_relation/5134103:0-220,220,f,Substation,f,relation/5134103,12.6077495,50.1500897,CZ,POINT (12.6077495 50.1500897)
virtual_relation/5136824:1-400,400,f,Substation,f,relation/5136824,16.12429515,49.12416335,CZ,POINT (16.12429515 49.12416335)
virtual_relation/5168027:a:1-400,400,f,Substation,f,relation/5168027;way/132480608,16.4481393,49.2809558,CZ,POINT (16.4481393 49.2809558)
virtual_relation/5195776:a:1-220,220,f,Substation,f,relation/5195776;way/147463587,18.260653,49.0702439,SK,POINT (18.260653 49.0702439)
virtual_relation/5203259:1-400,400,f,Substation,f,relation/5203259;relation/5203261;way/1046702318,16.5270679,46.5195182,HU,POINT (16.5270679 46.5195182)
virtual_relation/5203281:1-220,220,f,Substation,f,relation/5203281;relation/5203344,16.16269826,45.87615984,HR,POINT (16.16269826 45.87615984)
virtual_relation/5207534:b:1-400,400,f,Substation,f,relation/5207534;way/96114408,8.9161039,55.5286593,DK,POINT (8.9161039 55.5286593)
virtual_relation/5233619:c:1-400,400,f,Substation,f,relation/5233619;way/1116111031,17.72759135,47.67757386,HU,POINT (17.72759135 47.67757386)
virtual_relation/5314438:0-225,225,f,Substation,f,relation/10577031;relation/5314438;relation/5314582;relation/5314583;relation/5314584;relation/7074324;way/114615522,-0.11434074,47.2078517,FR,POINT (-0.11434074 47.2078517)
virtual_relation/5318397:a:0-400,400,f,Substation,f,relation/5318397,6.02607235,46.19090718,CH,POINT (6.02607235 46.19090718)
virtual_relation/5321015:1-225,225,f,Substation,f,relation/5321015,5.76416755,44.88174302,FR,POINT (5.76416755 44.88174302)
virtual_relation/5339212:1-275,275,f,Substation,f,relation/5339212,-2.81060867,53.278213,GB,POINT (-2.81060867 53.278213)
virtual_relation/5434510:0-220,220,f,Substation,f,relation/5434510;relation/5434511,8.76740064,46.67530531,CH,POINT (8.76740064 46.67530531)
virtual_relation/5497488:a:1-380,380,f,Substation,f,relation/5497488;relation/5497490;way/1186186271,9.3837797,53.3146739,DE,POINT (9.3837797 53.3146739)
virtual_relation/5497488:b:1-380,380,f,Substation,f,relation/5497488;relation/5497490;way/1186186271,9.3886907,53.3384205,DE,POINT (9.3886907 53.3384205)
virtual_relation/5511184:0-220,220,f,Substation,f,relation/5511184,19.76800561,45.53736895,RS,POINT (19.76800561 45.53736895)
virtual_relation/5548368:a:1-225,225,f,Substation,f,relation/5548368;way/555835061,-0.5213278,47.5424833,FR,POINT (-0.5213278 47.5424833)
virtual_relation/5548390:a:1-225,225,f,Substation,f,relation/5548390;way/142456180,-3.1930305,48.4455632,FR,POINT (-3.1930305 48.4455632)
virtual_relation/5548393:a:1-225,225,f,Substation,f,relation/5548393;way/201011202,-2.9669626,48.450894,FR,POINT (-2.9669626 48.450894)
